formula,mz,observed,a,sigma,peak,error
C2H3O2-,59.01385291523943,59.013816245361284,90.1861027358806,8.950308099273087e-05,3.0,3.666987814909817e-05
O3N-,61.988366443389424,61.98837515296901,2512101.296110984,9.401442501447214e-05,7.0,-8.709579589094574e-06
O3N[15]-,62.985401336789415,62.9854251152551,8971.789473189076,9.55265862801269e-05,10.0,-2.3778465681800753e-05
O2O[17]N-,62.992583523829424,62.99259997043503,2356.9044759412254,9.553746405487892e-05,11.0,-1.6446605606290632e-05
O2O[18]N-,63.99261282382943,63.9926233689042,15835.139693706642,9.705416573754878e-05,12.0,-1.0545074765389018e-05
C2H3O3-,75.00876753479943,75.00878968509545,19.38322131362962,0.00011376182202375851,23.0,-2.2150296018708104e-05
C4H5O2-,85.02950297937943,85.02956309834576,188.73625915705895,0.00012895979153635908,27.0,-6.011896633140168e-05
C2HO4-,88.98803209021943,88.98811938935266,2451.5276030974505,0.0001349634474948822,29.0,-8.72991332272477e-05
C4H5O3-,101.02441759893942,101.02445008733505,84.40475108731437,0.00015321837785984947,34.0,-3.24883956324129e-05
C3H3O4-,103.00368215435944,103.00376359442447,7733.50428189659,0.00015622023784613964,35.0,-8.144006503130186e-05
C2O2F3-,112.98558747902945,112.985665006756,1003.8712799355624,0.00017135927543129485,42.0,-7.752772654612272e-05
C4H3O4-,115.00368215435944,115.00367421825318,26.460706146606352,0.00017441989469742464,45.0,7.936106257488973e-06
C5H7O3-,115.04006766307943,115.0401502298886,38.42392097096355,0.00017447524223326377,46.0,-8.256680916929326e-05
C4H5O4-,117.01933221849943,117.01939290523703,1812.2932508699544,0.00017747694387700168,47.0,-6.068673759784815e-05
C3H3O5-,118.99859677391943,118.99855332537098,16.216700098317098,0.00018047866967474112,49.0,4.3448548453284275e-05
CH2O6N-,123.98876036620943,123.988756514611,1031.8170229259406,0.00018804711662849183,51.0,3.851598435744563e-06
HO6N2-,124.98400933893944,124.98399951227904,1150104.733693521,0.00018955645850684646,55.0,9.826660402723064e-06
HO6NN[15]-,125.98104423233944,125.98103704432793,7693.041258192943,0.00019106866045645802,59.0,7.188011508674208e-06
HO5O[17]N2-,125.98822641937944,125.9882269339509,2031.2916539368268,0.00019107959502047143,60.0,-5.145714538912216e-07
HO5O[18]N2-,126.98825571937942,126.98825585067036,13611.96157942492,0.00019259619962695032,61.0,-1.3129093190400454e-07
C6H7O3-,127.04006766307943,127.04000301900327,31.152617240691846,0.0001926747113185933,62.0,6.464407616135759e-05
C5H5O4-,129.01933221849944,129.0194002524522,32.26445662066032,0.00019567683506636614,63.0,-6.803395274346258e-05
C6H9O3-,129.05571772721942,129.05570077013326,92.05057299413639,0.00019573179380944817,64.0,1.6957086160118706e-05
C3F5-,130.99256467990944,130.9925988522479,24.2664350475075,0.00019866944310611848,65.0,-3.4172338473581476e-05
C5H7O4-,131.03498228263942,131.03501278872423,83.91559164614978,0.00019873375932905995,66.0,-3.0506084812031986e-05
C4H5O5-,133.01424683805945,133.01426789048617,3292.0919239724285,0.00020173550722727072,67.0,-2.105242671746055e-05
CO5N3-,133.98434369210943,133.98437771047088,116.64807657507163,0.00020320685644225128,68.0,-3.401836144689696e-05
C5H5O5-,145.01424683805945,145.01426199884142,1222.5692420277867,0.00021993537804914856,72.0,-1.5160781970280368e-05
C5H7O5-,147.02989690219945,147.02992771198518,12130.605379714341,0.00022299241377906438,74.0,-3.080978572711501e-05
C4C[13]H7O5-,148.03325173999946,148.0332864697994,252.29484276260908,0.00022451403527330632,75.0,-3.472979994967318e-05
C2H2O7N-,151.98367498576945,151.98370146912717,145.90326399207197,0.00023050554606030994,76.0,-2.6483357714823796e-05
C6H7O5-,159.02989690219945,159.02990305669942,2540.859416678691,0.0002411920357841163,78.0,-6.154499970989491e-06
C5H5O6-,161.00916145761943,161.00917544818276,2041.4158627891231,0.0002441939696948583,79.0,-1.3990563331844896e-05
C6H9O5-,161.04554696633943,161.04556280473295,1395.2851181335225,0.000244249088118668,80.0,-1.5838393522926708e-05
C3O2F5-,162.98239391902945,162.9823769359197,103.89090847944672,0.0002471866187004745,81.0,1.698310975939421e-05
C8H5O4-,165.01933221849944,165.01928472395008,36.17995134700751,0.00025027578478981234,83.0,4.749454936359143e-05
C3H4O7N-,165.99932504990943,165.99929885170963,1024.348363774027,0.0002517622083412305,84.0,2.619819980509419e-05
C7H7O5-,171.02989690219945,171.0298838216944,44.89285729300737,0.00025939193180881764,86.0,1.3080505055995673e-05
C7H9O5-,173.04554696633946,173.04553514337343,9097.912103387622,0.00026244881540728106,87.0,1.1822966030194948e-05
C6C[13]H9O5-,174.04890180413943,174.04888401615236,181.98262608189822,0.0002639706160768253,88.0,1.7787987076189893e-05
C6H7O6-,175.0248115217594,175.02480238757548,1965.7675406879353,0.0002654507186864914,89.0,9.1341839265624e-06
C7H11O5-,175.06119703047943,175.06120883956677,102.29670645530956,0.0002655058995924659,90.0,-1.1809087339997859e-05
C4H4O7N-,177.99932504990943,177.99935509337155,24.932444634100015,0.0002699620084998109,92.0,-3.004346211810116e-05
C4H6O7N-,180.01497511404946,180.01491346538134,41.54928125609102,0.0002730189605917655,93.0,6.164866812241598e-05
C8H9O5-,185.04554696633946,185.04555769747412,79.84711489741832,0.0002806487342855261,95.0,-1.0731134665320496e-05
C7H7O6-,187.0248115217594,187.024867459506,130.0590544588228,0.0002836504359781974,96.0,-5.593774659473638e-05
C8H11O5-,187.06119703047943,187.06119536719652,2632.7039774030286,0.00028370563723975785,97.0,1.663282915842501e-06
C7H9O6-,189.04046158589938,189.04044585907707,1402.7618916181636,0.00028670756452453143,98.0,1.5726822311989963e-05
C5H6O7N-,192.01497511404946,192.01498074508157,1135.550079977976,0.0002912188680762021,99.0,-5.631032109931766e-06
C5H8O7N-,194.03062517818938,194.0305484579408,64.462979197638,0.00029427577234477644,102.0,7.672024858607074e-05
C9H11O5-,199.06119703047943,199.06118796404024,93.8323134485625,0.00030190533096627705,104.0,9.066439190519304e-06
C8H9O6-,201.04046158589938,201.04042205689723,1257.775455816652,0.0003049070789633993,105.0,3.9529002151539316e-05
C9H13O5-,201.07684709461944,201.0768375575477,66.38433472918064,0.00030496244750980497,106.0,9.537071747445225e-06
C8H11O6-,203.0561116500394,203.05608394140936,935.864544231158,0.00030796422478208035,107.0,2.7708630057077244e-05
C6H8O7N-,206.03062517818938,206.03058359674543,1047.6490623421016,0.00031247554626545094,108.0,4.158144395205454e-05
C5H6O8N-,208.00988973360944,208.00986576754855,1775.2190576910546,0.00031547723933754066,109.0,2.3966060894053953e-05
C6H10O7N-,208.04627524232941,208.04627653443268,580.0349959876453,0.0003155325440141828,110.0,-1.292103263494937e-06
C4H4O9N-,209.98915428902941,209.9891391882815,27.29553419239523,0.00031847915937594976,111.0,1.5100747901897194e-05
C5H8O8N-,210.02553979774945,210.02552478567713,8313.213025332174,0.000318534434311478,112.0,1.501207231058288e-05
C4C[13]H8O8N-,211.02889463554942,211.02881745469176,44.136921977086594,0.0003200560174018315,113.0,7.718085765873184e-05
C9H11O6-,215.0561116500394,215.05605452147623,386.3370406532885,0.0003261639166221369,115.0,5.712856318496051e-05
C9H13O6-,217.07176171417942,217.07172254709852,789.2949199498646,0.0003292210881889155,117.0,3.9167080899460416e-05
C6H6O8N-,220.00988973360944,220.00986118811582,538.1211337800191,0.0003336770035829476,118.0,2.8545493620413254e-05
C7H10O7N-,220.04627524232941,220.04624308680874,928.4012793272049,0.00033373217317488166,119.0,3.2155520671039994e-05
C6H8O8N-,222.02553979774945,222.0255178909666,1277.6499353955887,0.0003367341502161781,120.0,2.1906782848191142e-05
C5H6O9N-,224.00480435316945,224.00477925287242,4597.464243623554,0.0003397361158688044,122.0,2.5100297023072926e-05
C6H10O8N-,224.04118986188942,224.0411199775426,735.0555250090268,0.000339790985893831,123.0,6.98843468285304e-05
C10H13O6-,229.07176171417942,229.0718192842182,463.7916044295219,0.000347421060556308,127.0,-5.7570038791254774e-05
C9H11O7-,231.05102626959942,231.05109402644848,55.96128269826233,0.00035042272106285946,128.0,-6.775684906301649e-05
C10H15O6-,231.08741177831945,231.087341297237,677.3712670135096,0.000350477673528914,129.0,7.048108244589457e-05
C7H8O8N-,234.02553979774945,234.0254890248936,4352.4534012037575,0.00035493380739997824,131.0,5.0772855843206344e-05
C8H12O7N-,234.06192530646942,234.06190546160545,11761.258377265443,0.0003549891804873777,132.0,1.9844863970774895e-05
C7C[13]H12O7N-,235.06528014426945,235.06524609604654,463.0291036922254,0.0003565108757799621,133.0,3.404822291486198e-05
