formula,mz
C2H3O2-,59.01385291523943
O3N-,61.988366443389424
O3N[15]-,62.98540133678942
O2O[17]N-,62.992583523829424
O2O[18]N-,63.992612823829425
C3H3O2-,71.01385291523944
C3H5O2-,73.02950297937943
C2H3O3-,75.00876753479943
C4H5O2-,85.02950297937943
C2HO4-,88.98803209021943
C3H5O3-,89.02441759893942
CC[13]HO4-,89.99138692801944
C5H5O2-,97.02950297937943
C5H7O2-,99.04515304351943
C4H5O3-,101.02441759893942
C3H3O4-,103.00368215435944
C4H7O3-,103.04006766307943
C2C[13]H3O4-,104.00703699215944
C3H3O3O[18]-,105.00792853479945
C6H7O2-,111.04515304351943
C2O2F3-,112.98558747902943
C5H5O3-,113.02441759893942
C6H9O2-,113.06080310765944
C4H3O4-,115.00368215435944
C5H7O3-,115.04006766307943
C4H5O4-,117.01933221849943
C3C[13]H5O4-,118.02268705629943
C3H3O5-,118.99859677391945
CH2O6N-,123.98876036620943
HO6N2-,124.98400933893943
C7H9O2-,125.06080310765944
HO6NN[15]-,125.98104423233943
HO5O[17]N2-,125.98822641937943
HO5O[18]N2-,126.98825571937942
C6H7O3-,127.04006766307943
HO4O[18]2N2-,128.99250209981943
C5H5O4-,129.01933221849944
C6H9O3-,129.05571772721942
C3F5-,130.99256467990944
C4H3O5-,130.99859677391945
C5H7O4-,131.03498228263942
C4H5O5-,133.01424683805945
CO5N3-,133.98434369210943
C3C[13]H5O5-,134.01760167585945
C3H6O5N-,136.02514587492945
C3O3F3-,140.98050209858943
C7H9O3-,141.05571772721942
C6H7O4-,143.03498228263942
C5H5O5-,145.01424683805945
C6H9O4-,145.05063234677942
C4C[13]H5O5-,146.01760167585945
C5H7O5-,147.02989690219943
C4C[13]H7O5-,148.03325173999943
C5H7O4O[18]-,149.03414328263943
C2H2O7N-,151.98367498576943
C7H7O4-,155.03498228263942
C8H11O3-,155.07136779135942
C6H5O5-,157.01424683805945
C7H9O4-,157.05063234677942
C6H7O5-,159.02989690219943
C7H11O4-,159.06628241091943
C5C[13]H7O5-,160.03325173999943
C5H5O6-,161.00916145761943
C6H9O5-,161.04554696633943
C4C[13]H5O6-,162.01251629541943
C5C[13]H9O5-,162.04890180413943
C3O2F5-,162.98239391902945
C5H7O6-,163.0248115217594
C8H5O4-,165.01933221849944
C3H4O7N-,165.99932504990943
C2C[13]H4O7N-,167.00267988770943
C7H7O5-,171.02989690219943
C8H11O4-,171.06628241091943
C6H5O6-,173.00916145761943
C7H9O5-,173.04554696633943
C6C[13]H9O5-,174.04890180413943
C6H7O6-,175.0248115217594
C7H9O4O[18]-,175.04979334677944
C7H11O5-,175.06119703047943
C5C[13]H7O6-,176.0281663595594
C6H6H[2]O6-,176.0310882674894
C6C[13]H11O5-,176.06455186827944
C6H9O6-,177.0404615858994
C4H4O7N-,177.99932504990943
C4H6O7N-,180.01497511404943
C6H3O5N2-,183.00474478351944
C8H7O5-,183.02989690219943
C8H9O5-,185.04554696633943
C7C[13]H9O5-,186.04890180413943
C7H7O6-,187.0248115217594
C8H11O5-,187.06119703047943
H2O9N3-,187.97965223448944
C7C[13]H11O5-,188.06455186827944
C7H9O6-,189.0404615858994
C8H13O5-,189.07684709461944
C5H4O7N-,189.99932504990943
C6C[13]H9O6-,190.0438164236994
C5H6O7N-,192.01497511404943
C9H12ON4-,192.10165960350943
C4C[13]H6O7N-,193.01832995184944
C4H4O8N-,193.99423966946944
C5H8O7N-,194.0306251781894
C4H6O8N-,196.00988973360944
C9H9O5-,197.04554696633943
C8H7O6-,199.0248115217594
C9H11O5-,199.06119703047943
C6H5O6N2-,201.01530946721942
C8H9O6-,201.0404615858994
C9H13O5-,201.07684709461944
C7C[13]H9O6-,202.0438164236994
C7H7O7-,203.0197261413194
C8H11O6-,203.0561116500394
C6H6O7N-,204.01497511404943
C7C[13]H11O6-,204.05946648783942
C7H9O7-,205.03537620545941
C5H4O8N-,205.99423966946944
C6H8O7N-,206.0306251781894
C5C[13]H8O7N-,207.0339800159894
C3H2O5NF4-,207.98745862664944
C5H6O8N-,208.00988973360944
C6H10O7N-,208.04627524232941
C4H5O8N2-,209.00513870633944
C4C[13]H6O8N-,209.01324457140944
