,formula,mz,observed,a,sigma,peak
2,O3N-,61.988366443389424,61.98836759233585,2677581.4556735978,9.401442020784963e-05,4.0
3,O3N[15]-,62.985401336789415,62.985416379164676,8851.514698376357,9.552658204791736e-05,8.0
4,O2O[17]N-,62.992583523829424,62.992596841473016,2527.522155859044,9.553745982685745e-05,9.0
5,O2O[18]N-,63.99261282382943,63.99261589400943,16358.503826552425,9.705416210125886e-05,10.0
9,C4H5O2-,85.02950297937943,85.02956150460471,241.39019879102418,0.00012895973324827137,13.0
10,C2HO4-,88.98803209021943,88.98809666854845,3638.3889536456336,0.0001349634633723854,15.0
16,C3H3O4-,103.00368215435944,103.0037428727266,10676.57648355794,0.0001562201743246371,17.0
21,C2O2F3-,112.98558747902945,112.98566635990618,902.0922998911847,0.0001713593177637578,19.0
26,C4H5O4-,117.01933221849943,117.01936911884553,1344.360867521614,0.00017747699133172906,20.0
28,C3H3O5-,118.99859677391943,118.9985750550937,412.2847825580497,0.00018047871971067238,21.0
29,CH2O6N-,123.98876036620943,123.98873913961783,1553.8014317357759,0.0001880470492311651,22.0
30,HO6N2-,124.98400933893944,124.98398225935057,1235187.0196813252,0.0001895565166162269,24.0
32,HO6NN[15]-,125.98104423233944,125.98101625594286,8208.074005122706,0.0001910685928086201,26.0
33,HO5O[17]N2-,125.98822641937944,125.98821576702642,2073.9805193601414,0.0001910795273717627,27.0
34,HO5O[18]N2-,126.98825571937942,126.98823119370398,14669.041305265217,0.00019259626052836997,28.0
42,C4H5O5-,133.01424683805945,133.01424995788767,4473.424515266924,0.0002017355767860912,29.0
49,C5H5O5-,145.01424683805945,145.01421789391333,1378.3705443920178,0.0002199353089783578,31.0
52,C5H7O5-,147.02989690219945,147.029916741615,16288.508305703474,0.00022299234465757625,33.0
60,C6H7O5-,159.02989690219945,159.02987151550892,3241.919329118032,0.00024119196674229505,35.0
63,C5H5O6-,161.00916145761943,161.0091667810489,2619.395761360033,0.00024419390072785425,36.0
64,C6H9O5-,161.04554696633943,161.04556133507913,1335.688762875283,0.0002442492029124882,37.0
70,C3H4O7N-,165.99932504990943,165.99930907000584,1219.0827247067205,0.0002517621396388352,38.0
72,C7H7O5-,171.02989690219945,171.02996467268454,696.0171156811837,0.0002593918634819896,39.0
75,C7H9O5-,173.04554696633946,173.0454957967204,7799.648915440224,0.00026244874726121523,40.0
77,C6H7O6-,175.0248115217594,175.02477310658776,2894.763651489078,0.00026545065073465266,41.0
79,C7H11O5-,175.06119703047943,175.0611006031481,268.82232423305146,0.0002655058316443519,42.0
90,C7H7O6-,187.0248115217594,187.024756116032,297.98992915669953,0.0002836503695532406,44.0
91,C8H11O5-,187.06119703047943,187.0611534598496,2733.554558547403,0.00028370557082033277,45.0
94,C7H9O6-,189.04046158589938,189.04042290210595,2452.257568666889,0.0002867074984140279,46.0
98,C5H6O7N-,192.01497511404946,192.0149115625344,1867.1566507795796,0.00029121856322282785,47.0
102,C5H8O7N-,194.03062517818938,194.03061009967138,649.631610543576,0.00029427570708325754,50.0
108,C8H9O6-,201.04046158589938,201.04039919126168,1781.5740072027904,0.000304907271363279,51.0
112,C8H11O6-,203.0561116500394,203.05606923715018,1441.4634832993222,0.0003079641613077906,52.0
117,C6H8O7N-,206.03062517818938,206.0305876296907,1511.681694028213,0.0003124754834501926,53.0
120,C5H6O8N-,208.00988973360944,208.00983008452963,1565.2437470107893,0.00031547717697979143,54.0
121,C6H10O7N-,208.04627524232941,208.04617901793745,817.9331166121491,0.0003155324816650048,55.0
127,C5H8O8N-,210.02553979774945,210.02548873552817,8846.833393222714,0.0003185343724352238,56.0
133,C9H11O6-,215.0561116500394,215.0560572413344,995.8725295516912,0.0003261638560153496,57.0
134,C10H15O5-,215.09249715875941,215.09246731447078,252.51045315999622,0.00032621915822921157,58.0
142,C6H6O8N-,220.00988973360944,220.00981053804168,687.2786219822401,0.0003336769443200592,59.0
143,C7H10O7N-,220.04627524232941,220.046223727785,1130.6028491824297,0.00033373211392220316,60.0
146,C6H8O8N-,222.02553979774945,222.02543432333195,1198.9013255854918,0.00033673409152653287,61.0
150,C5H6O9N-,224.00480435316945,224.0047350372371,5437.846257274551,0.00033973575630981553,62.0
151,C6H10O8N-,224.04118986188942,224.04125689954324,475.0189066776322,0.0003397912293129658,63.0
159,C10H13O6-,229.07176171417942,229.07171818494965,883.398672898637,0.00034742069225647266,64.0
162,C10H15O6-,231.08741177831945,231.08733267993227,359.4790556540236,0.0003504776176026742,65.0
167,C7H8O8N-,234.02553979774945,234.0254716119367,5501.017362642497,0.00035493375243451973,66.0
168,C8H12O7N-,234.06192530646942,234.0618873665536,13905.25001876087,0.000354989125534056,67.0
169,C6C[13]H8O8N-,235.02889463554942,235.0287640867791,384.6198885802967,0.00035645541562499106,68.0
170,C7C[13]H12O7N-,235.06528014426945,235.06518651063095,931.3216243746767,0.000356510821162063,69.0
173,C7H10O8N-,236.04118986188942,236.04114997511894,8800.37280681531,0.00035799079799748974,70.0
192,C8H10O8N-,248.04118986188942,248.04115169927454,18831.407840201162,0.0003761904868881746,71.0
195,C7C[13]H10O8N-,249.04454469968945,249.0445256670029,794.2481294600874,0.00037771246779004183,72.0
198,C8H12O8N-,250.05683992602943,250.05680293528732,13637.105445236537,0.0003792476145913714,73.0
201,C7C[13]H12O8N-,251.06019476382943,251.06006710078032,371.7668124510995,0.00038076924702786256,74.0
203,C7H10O9N-,252.03610448144943,252.03612630610044,952.8282209156789,0.00038224968345134004,75.0
212,C9H12O8N-,262.05683992602945,262.05638306797783,2042.9703829106925,0.0003974469695346696,78.0
215,C8H10O9N-,264.03610448144946,264.03567414267684,5527.417652073976,0.00040044856884797033,79.0
216,C9H14O8N-,264.07248999016946,264.07205586275927,2339.271477908523,0.0004005037383624968,80.0
221,C8H12O9N-,266.05175454558946,266.0513833341599,2777.7995976435086,0.00040350575922328143,81.0
225,C9H10O9N-,276.03610448144946,276.03585836071323,318.15917404520195,0.0004186486206901498,82.0
226,C10H14O8N-,276.0724899901694,276.07232037764624,791.2231129561275,0.0004187038818793187,83.0
229,C9H12O9N-,278.05175454558946,278.0516591829306,6532.8071765012355,0.0004217059790181567,84.0
230,C10H16O8N-,278.0881400543094,278.0880041247301,833.7874662558828,0.00042176101275206984,85.0
237,C9H14O9N-,280.0674046097294,280.06728601785767,2527.319622856721,0.0004247628140168553,87.0
248,C9H10O10N-,292.03101910100946,292.0308233058176,327.4464912936799,0.0004429076140757139,88.0
